dashboard_item_id,title,chart_type,doc_index,document_json
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,1,"{""value"": 45, ""label"": ""Safari""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,2,"{""value"": 35, ""label"": ""Firefox""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,3,"{""value"": 13, ""label"": ""Chrome Mobile""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,4,"{""value"": 5, ""label"": ""Opera""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,5,"{""value"": 2, ""label"": ""Samsung Internet""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,6,"{""value"": 1, ""label"": ""Firefox Mobile""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,7,"{""value"": 1, ""label"": ""Maxthon""}"
6944b9f0-3617-4631-859d-12ff668495c0,User Browsers,Donut,8,"{""value"": 1, ""label"": ""Electron""}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,0,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 1}, ""y"": 95}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,1,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 2}, ""y"": 105}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,2,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 3}, ""y"": 88}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,3,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 4}, ""y"": 70}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,4,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 5}, ""y"": 72}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,5,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 6}, ""y"": 113}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,6,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 7}, ""y"": 119}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,7,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 8}, ""y"": 108}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,8,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 9}, ""y"": 106}"
6944b9f0-3617-4c0c-8ada-12ff668495c3,# Daily Active Users,Grouped Column,9,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 10}, ""y"": 109}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,0,"{""x"": 18998, ""y"": ""Number""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,1,"{""x"": 5240, ""y"": ""Area""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,2,"{""x"": 3409, ""y"": ""Grouped Column""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,3,"{""x"": 2022, ""y"": ""Donut""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,4,"{""x"": 1683, ""y"": ""Stacked Column""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,5,"{""x"": 1332, ""y"": ""Gauge""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,6,"{""x"": 1001, ""y"": ""Data Table""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,7,"{""x"": 996, ""y"": ""Grouped Bar""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,8,"{""x"": 875, ""y"": ""Scatter""}"
6944b9f0-3617-4c87-8a08-12ff668495c5,Top 10 Chart Types Added,Grouped Bar,9,"{""x"": 858, ""y"": ""Line""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,0,"{""x"": 50990, ""y"": ""render""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,1,"{""x"": 37457, ""y"": ""rendered""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,2,"{""x"": 6420, ""y"": ""refreshed""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,3,"{""x"": 1580, ""y"": ""error""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,4,"{""x"": 889, ""y"": ""failed""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,5,"{""x"": 772, ""y"": ""opened""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,6,"{""x"": 608, ""y"": ""max_response_size""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,7,"{""x"": 379, ""y"": ""login""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,8,"{""x"": 376, ""y"": ""tested""}"
6944b9f0-3617-49a8-8c09-12ff668495c8,Top 10 Events Fired,Grouped Bar,9,"{""x"": 178, ""y"": ""modified""}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,0,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 1}, ""y"": 165}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,1,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 2}, ""y"": 182}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,2,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 3}, ""y"": 176}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,3,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 4}, ""y"": 156}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,4,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 5}, ""y"": 156}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,5,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 6}, ""y"": 179}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,6,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 7}, ""y"": 213}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,7,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 8}, ""y"": 187}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,8,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 9}, ""y"": 173}"
6944b9f0-3617-4bb5-8528-12ff668495ca,# Daily Active Organizations,Grouped Column,9,"{""x"": {""year"": 2021, ""month"": 3, ""date"": 10}, ""y"": 189}"
6944b9f0-3617-414a-852c-12ff668495cf,Total # Active Users,Number,0,"{""value"": 539}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,0,"{""x"": {""day"": 7}, ""y"": 1205, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,1,"{""x"": {""day"": 7}, ""y"": 3348, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,2,"{""x"": {""day"": 8}, ""y"": 2730, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,3,"{""x"": {""day"": 8}, ""y"": 850, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,4,"{""x"": {""day"": 9}, ""y"": 2526, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,5,"{""x"": {""day"": 9}, ""y"": 526, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,6,"{""x"": {""day"": 10}, ""y"": 3181, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,7,"{""x"": {""day"": 10}, ""y"": 1364, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,8,"{""x"": {""day"": 11}, ""y"": 1127, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,9,"{""x"": {""day"": 11}, ""y"": 5427, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,10,"{""x"": {""day"": 12}, ""y"": 1200, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,11,"{""x"": {""day"": 12}, ""y"": 5686, ""color"": ""iframe""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,12,"{""x"": {""day"": 13}, ""y"": 1460, ""color"": ""sdk""}"
6944b9f0-3617-4a98-8454-12ff668495d2,Embedding Renders per Day of the Week,Stacked Column,13,"{""x"": {""day"": 13}, ""y"": 6827, ""color"": ""iframe""}"
6944b9f0-3617-4ca6-8479-12ff668495d6,# Organizations by Embedding Types,Donut,0,"{""label"": ""iframe"", ""value"": 94}"
6944b9f0-3617-4ca6-8479-12ff668495d6,# Organizations by Embedding Types,Donut,1,"{""label"": ""sdk"", ""value"": 30}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,0,"{""x"": {""day"": 7}, ""y"": 29, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,1,"{""x"": {""day"": 7}, ""y"": 501, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,2,"{""x"": {""day"": 7}, ""y"": 1, ""color"": ""1.6.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,3,"{""x"": {""day"": 7}, ""y"": 12, ""color"": ""1.19.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,4,"{""x"": {""day"": 7}, ""y"": 9285, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,5,"{""x"": {""day"": 8}, ""y"": 9573, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,6,"{""x"": {""day"": 8}, ""y"": 166, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,7,"{""x"": {""day"": 8}, ""y"": 16, ""color"": ""1.19.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,8,"{""x"": {""day"": 8}, ""y"": 31, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,9,"{""x"": {""day"": 9}, ""y"": 77, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,10,"{""x"": {""day"": 9}, ""y"": 44, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,11,"{""x"": {""day"": 9}, ""y"": 9793, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,12,"{""x"": {""day"": 10}, ""y"": 66, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,13,"{""x"": {""day"": 10}, ""y"": 9793, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,14,"{""x"": {""day"": 10}, ""y"": 72, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,15,"{""x"": {""day"": 11}, ""y"": 2, ""color"": ""1.9.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,16,"{""x"": {""day"": 11}, ""y"": 278, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,17,"{""x"": {""day"": 11}, ""y"": 154, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,18,"{""x"": {""day"": 11}, ""y"": 3, ""color"": ""1.19.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,19,"{""x"": {""day"": 11}, ""y"": 19384, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,20,"{""x"": {""day"": 12}, ""y"": 19247, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,21,"{""x"": {""day"": 12}, ""y"": 64, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,22,"{""x"": {""day"": 12}, ""y"": 1, ""color"": ""v1.20.2""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,23,"{""x"": {""day"": 12}, ""y"": 2, ""color"": ""1.19.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,24,"{""x"": {""day"": 12}, ""y"": 1, ""color"": ""1.9.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,25,"{""x"": {""day"": 12}, ""y"": 1, ""color"": ""1.6.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,26,"{""x"": {""day"": 12}, ""y"": 379, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,27,"{""x"": {""day"": 13}, ""y"": 19472, ""color"": ""v1.23.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,28,"{""x"": {""day"": 13}, ""y"": 2, ""color"": ""v1.20.2""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,29,"{""x"": {""day"": 13}, ""y"": 2, ""color"": ""1.6.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,30,"{""x"": {""day"": 13}, ""y"": 174, ""color"": ""v1.22.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,31,"{""x"": {""day"": 13}, ""y"": 69, ""color"": ""1.9.1""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,32,"{""x"": {""day"": 13}, ""y"": 29, ""color"": ""1.19.0""}"
6944b9f0-3617-4c5a-8108-12ff668495db,Daily # Events by Version&nbsp;,Stacked Column,33,"{""x"": {""day"": 13}, ""y"": 2, ""color"": ""1.20.1""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,0,"{""group"": ""Connection time out"", ""value"": 183, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 67, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,1,"{""group"": ""User not found"", ""value"": 177, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 69, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,2,"{""group"": ""HTTP 403"", ""value"": 173, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 63, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,3,"{""group"": ""Update is not permitted"", ""value"": 166, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 66, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,4,"{""group"": ""HTTP 404"", ""value"": 165, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 65, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,5,"{""group"": ""Failed to process request"", ""value"": 159, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 61, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,6,"{""group"": ""Can not load data"", ""value"": 153, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 64, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,7,"{""group"": ""HTTP 500"", ""value"": 152, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 64, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,8,"{""group"": ""HTTP 401"", ""value"": 142, ""group_series_0"": ""v1.23.0"", ""value_series_0"": 52, ""group_series_1"": ""Server""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,9,"{""group"": ""Can not load data"", ""value"": 9, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,10,"{""group"": ""HTTP 403"", ""value"": 9, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,11,"{""group"": ""HTTP 401"", ""value"": 9, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,12,"{""group"": ""User not found"", ""value"": 9, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,13,"{""group"": ""HTTP 404"", ""value"": 8, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,14,"{""group"": ""HTTP 401"", ""value"": 8, ""group_series_0"": ""1.9.1"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,15,"{""group"": ""HTTP 403"", ""value"": 7, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,16,"{""group"": ""Connection time out"", ""value"": 7, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,17,"{""group"": ""Can not load data"", ""value"": 6, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,18,"{""group"": ""HTTP 500"", ""value"": 6, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,19,"{""group"": ""Connection time out"", ""value"": 6, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,20,"{""group"": ""Update is not permitted"", ""value"": 6, ""group_series_0"": ""1.9.1"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,21,"{""group"": ""HTTP 404"", ""value"": 4, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,22,"{""group"": ""Update is not permitted"", ""value"": 4, ""group_series_0"": ""1.19.0"", ""value_series_0"": 1, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,23,"{""group"": ""Failed to process request"", ""value"": 3, ""group_series_0"": ""1.9.1"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,24,"{""group"": ""HTTP 500"", ""value"": 3, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,25,"{""group"": ""Failed to process request"", ""value"": 3, ""group_series_0"": ""1.19.0"", ""value_series_0"": 2, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-40b0-859f-12ff668495de,Top Errors,Data Table,26,"{""group"": ""User not found"", ""value"": 3, ""group_series_0"": ""1.9.1"", ""value_series_0"": 3, ""group_series_1"": ""Frontend""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,0,"{""x"": 608, ""color"": ""max_response_size"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,1,"{""x"": 104, ""color"": ""cancelled"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,2,"{""x"": 76, ""color"": ""added"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,3,"{""x"": 50990, ""color"": ""render"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,4,"{""x"": 178, ""color"": ""modified"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,5,"{""x"": 15, ""color"": ""edit_invoked"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,6,"{""x"": 11, ""color"": ""deleted"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,7,"{""x"": 2, ""color"": ""add_invoked"", ""y"": ""DashboardItem""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,8,"{""x"": 37457, ""color"": ""rendered"", ""y"": ""EmbeddedChart""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,9,"{""x"": 889, ""color"": ""failed"", ""y"": ""EmbeddedChart""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,10,"{""x"": 6420, ""color"": ""refreshed"", ""y"": ""Dashboard""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,11,"{""x"": 10, ""color"": ""deleted"", ""y"": ""Dashboard""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,12,"{""x"": 698, ""color"": ""opened"", ""y"": ""Dashboard""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,13,"{""x"": 6, ""color"": ""added"", ""y"": ""Dashboard""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,14,"{""x"": 1580, ""color"": ""error"", ""y"": ""Error""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,15,"{""x"": 21, ""color"": ""added"", ""y"": ""DataSource""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,16,"{""x"": 376, ""color"": ""tested"", ""y"": ""DataSource""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,17,"{""x"": 5, ""color"": ""pipeline_added"", ""y"": ""DataSource""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,18,"{""x"": 26, ""color"": ""deleted"", ""y"": ""DataSource""}"
6944b9f0-3617-49bf-8c27-12ff668495e2,# Events by Resource and Action,Stacked Bar,19,"{""x"": 4, ""color"": ""alias_modified"", ""y"": ""DataSource""}"
